test_pack,#iter,time,turn,pass,all_iter,all_time,clock_per_sec
1PC,0,1.967,1000,1000,1000000,-1915.27,1000
1PC,1,1.872,1000,1000,1000000,-1915.27,1000
1PC,2,1.869,1000,1000,1000000,-1915.27,1000
1PC,3,1.971,1000,1000,1000000,-1915.27,1000
1PC,4,1.859,1000,1000,1000000,-1915.27,1000
1PC,5,1.804,1000,1000,1000000,-1915.27,1000
1PC,6,1.811,1000,1000,1000000,-1915.27,1000
1PC,7,1.818,1000,1000,1000000,-1915.27,1000
1PC,8,1.822,1000,1000,1000000,-1915.27,1000
1PC,9,1.824,1000,1000,1000000,-1915.27,1000
1PC,10,1.811,1000,1000,1000000,-1915.27,1000
1PC,11,1.81,1000,1000,1000000,-1915.27,1000
1PC,12,1.81,1000,1000,1000000,-1915.27,1000
1PC,13,1.814,1000,1000,1000000,-1915.27,1000
1PC,14,1.811,1000,1000,1000000,-1915.27,1000
1PC,15,1.808,1000,1000,1000000,-1915.27,1000
1PC,16,1.823,1000,1000,1000000,-1915.27,1000
1PC,17,1.828,1000,1000,1000000,-1915.27,1000
1PC,18,1.813,1000,1000,1000000,-1915.27,1000
1PC,19,1.81,1000,1000,1000000,-1915.27,1000
1PC,20,1.81,1000,1000,1000000,-1915.27,1000
1PC,21,1.808,1000,1000,1000000,-1915.27,1000
1PC,22,1.813,1000,1000,1000000,-1915.27,1000
1PC,23,1.811,1000,1000,1000000,-1915.27,1000
1PC,24,1.81,1000,1000,1000000,-1915.27,1000
1PC,25,1.817,1000,1000,1000000,-1915.27,1000
1PC,26,1.811,1000,1000,1000000,-1915.27,1000
1PC,27,1.814,1000,1000,1000000,-1915.27,1000
1PC,28,1.802,1000,1000,1000000,-1915.27,1000
1PC,29,1.824,1000,1000,1000000,-1915.27,1000
1PC,30,1.823,1000,1000,1000000,-1915.27,1000
1PC,31,1.824,1000,1000,1000000,-1915.27,1000
1PC,32,1.821,1000,1000,1000000,-1915.27,1000
1PC,33,1.806,1000,1000,1000000,-1915.27,1000
1PC,34,1.814,1000,1000,1000000,-1915.27,1000
1PC,35,1.803,1000,1000,1000000,-1915.27,1000
1PC,36,1.822,1000,1000,1000000,-1915.27,1000
1PC,37,1.81,1000,1000,1000000,-1915.27,1000
1PC,38,1.813,1000,1000,1000000,-1915.27,1000
1PC,39,1.808,1000,1000,1000000,-1915.27,1000
1PC,40,1.818,1000,1000,1000000,-1915.27,1000
1PC,41,1.811,1000,1000,1000000,-1915.27,1000
1PC,42,1.816,1000,1000,1000000,-1915.27,1000
1PC,43,1.812,1000,1000,1000000,-1915.27,1000
1PC,44,1.812,1000,1000,1000000,-1915.27,1000
1PC,45,1.833,1000,1000,1000000,-1915.27,1000
1PC,46,1.816,1000,1000,1000000,-1915.27,1000
1PC,47,1.815,1000,1000,1000000,-1915.27,1000
1PC,48,1.814,1000,1000,1000000,-1915.27,1000
1PC,49,1.816,1000,1000,1000000,-1915.27,1000
1PC,50,1.832,1000,1000,1000000,-1915.27,1000
1PC,51,1.809,1000,1000,1000000,-1915.27,1000
1PC,52,1.815,1000,1000,1000000,-1915.27,1000
1PC,53,1.814,1000,1000,1000000,-1915.27,1000
1PC,54,1.811,1000,1000,1000000,-1915.27,1000
1PC,55,1.811,1000,1000,1000000,-1915.27,1000
1PC,56,1.851,1000,1000,1000000,-1915.27,1000
1PC,57,1.926,1000,1000,1000000,-1915.27,1000
1PC,58,1.905,1000,1000,1000000,-1915.27,1000
1PC,59,2.036,1000,1000,1000000,-1915.27,1000
1PC,60,1.902,1000,1000,1000000,-1915.27,1000
1PC,61,2.144,1000,1000,1000000,-1915.27,1000
1PC,62,2.257,1000,1000,1000000,-1915.27,1000
1PC,63,1.888,1000,1000,1000000,-1915.27,1000
1PC,64,1.839,1000,1000,1000000,-1915.27,1000
1PC,65,1.866,1000,1000,1000000,-1915.27,1000
1PC,66,1.833,1000,1000,1000000,-1915.27,1000
1PC,67,1.826,1000,1000,1000000,-1915.27,1000
1PC,68,1.827,1000,1000,1000000,-1915.27,1000
1PC,69,1.861,1000,1000,1000000,-1915.27,1000
1PC,70,1.868,1000,1000,1000000,-1915.27,1000
1PC,71,1.851,1000,1000,1000000,-1915.27,1000
1PC,72,1.97,1000,1000,1000000,-1915.27,1000
1PC,73,1.952,1000,1000,1000000,-1915.27,1000
1PC,74,1.863,1000,1000,1000000,-1915.27,1000
1PC,75,1.955,1000,1000,1000000,-1915.27,1000
1PC,76,1.88,1000,1000,1000000,-1915.27,1000
1PC,77,1.875,1000,1000,1000000,-1915.27,1000
1PC,78,1.897,1000,1000,1000000,-1915.27,1000
1PC,79,1.894,1000,1000,1000000,-1915.27,1000
1PC,80,1.975,1000,1000,1000000,-1915.27,1000
1PC,81,1.886,1000,1000,1000000,-1915.27,1000
1PC,82,1.961,1000,1000,1000000,-1915.27,1000
1PC,83,2.138,1000,1000,1000000,-1915.27,1000
1PC,84,2.083,1000,1000,1000000,-1915.27,1000
1PC,85,1.943,1000,1000,1000000,-1915.27,1000
1PC,86,1.902,1000,1000,1000000,-1915.27,1000
1PC,87,1.929,1000,1000,1000000,-1915.27,1000
1PC,88,1.894,1000,1000,1000000,-1915.27,1000
1PC,89,1.886,1000,1000,1000000,-1915.27,1000
1PC,90,1.899,1000,1000,1000000,-1915.27,1000
1PC,91,1.885,1000,1000,1000000,-1915.27,1000
1PC,92,1.914,1000,1000,1000000,-1915.27,1000
1PC,93,1.89,1000,1000,1000000,-1915.27,1000
1PC,94,1.889,1000,1000,1000000,-1915.27,1000
1PC,95,1.888,1000,1000,1000000,-1915.27,1000
1PC,96,1.892,1000,1000,1000000,-1915.27,1000
1PC,97,1.902,1000,1000,1000000,-1915.27,1000
1PC,98,1.934,1000,1000,1000000,-1915.27,1000
1PC,99,1.876,1000,1000,1000000,-1915.27,1000
1PC,100,2.003,1000,1000,1000000,-1915.27,1000
1PC,101,1.977,1000,1000,1000000,-1915.27,1000
1PC,102,1.913,1000,1000,1000000,-1915.27,1000
1PC,103,1.886,1000,1000,1000000,-1915.27,1000
1PC,104,1.892,1000,1000,1000000,-1915.27,1000
1PC,105,1.891,1000,1000,1000000,-1915.27,1000
1PC,106,1.884,1000,1000,1000000,-1915.27,1000
1PC,107,1.886,1000,1000,1000000,-1915.27,1000
1PC,108,1.891,1000,1000,1000000,-1915.27,1000
1PC,109,1.884,1000,1000,1000000,-1915.27,1000
1PC,110,1.884,1000,1000,1000000,-1915.27,1000
1PC,111,1.886,1000,1000,1000000,-1915.27,1000
1PC,112,1.895,1000,1000,1000000,-1915.27,1000
1PC,113,1.877,1000,1000,1000000,-1915.27,1000
1PC,114,1.883,1000,1000,1000000,-1915.27,1000
1PC,115,1.883,1000,1000,1000000,-1915.27,1000
1PC,116,1.891,1000,1000,1000000,-1915.27,1000
1PC,117,1.919,1000,1000,1000000,-1915.27,1000
1PC,118,1.874,1000,1000,1000000,-1915.27,1000
1PC,119,1.889,1000,1000,1000000,-1915.27,1000
1PC,120,1.884,1000,1000,1000000,-1915.27,1000
1PC,121,1.893,1000,1000,1000000,-1915.27,1000
1PC,122,1.876,1000,1000,1000000,-1915.27,1000
1PC,123,1.892,1000,1000,1000000,-1915.27,1000
1PC,124,1.882,1000,1000,1000000,-1915.27,1000
1PC,125,1.9,1000,1000,1000000,-1915.27,1000
1PC,126,1.896,1000,1000,1000000,-1915.27,1000
1PC,127,1.896,1000,1000,1000000,-1915.27,1000
1PC,128,1.881,1000,1000,1000000,-1915.27,1000
1PC,129,1.892,1000,1000,1000000,-1915.27,1000
1PC,130,1.901,1000,1000,1000000,-1915.27,1000
1PC,131,1.885,1000,1000,1000000,-1915.27,1000
1PC,132,1.881,1000,1000,1000000,-1915.27,1000
1PC,133,1.909,1000,1000,1000000,-1915.27,1000
1PC,134,1.876,1000,1000,1000000,-1915.27,1000
1PC,135,1.88,1000,1000,1000000,-1915.27,1000
1PC,136,1.889,1000,1000,1000000,-1915.27,1000
1PC,137,1.885,1000,1000,1000000,-1915.27,1000
1PC,138,1.886,1000,1000,1000000,-1915.27,1000
1PC,139,1.888,1000,1000,1000000,-1915.27,1000
1PC,140,1.982,1000,1000,1000000,-1915.27,1000
1PC,141,2.044,1000,1000,1000000,-1915.27,1000
1PC,142,1.913,1000,1000,1000000,-1915.27,1000
1PC,143,1.948,1000,1000,1000000,-1915.27,1000
1PC,144,1.932,1000,1000,1000000,-1915.27,1000
1PC,145,1.887,1000,1000,1000000,-1915.27,1000
1PC,146,2.04,1000,1000,1000000,-1915.27,1000
1PC,147,2.004,1000,1000,1000000,-1915.27,1000
1PC,148,1.975,1000,1000,1000000,-1915.27,1000
1PC,149,1.905,1000,1000,1000000,-1915.27,1000
1PC,150,1.899,1000,1000,1000000,-1915.27,1000
1PC,151,1.947,1000,1000,1000000,-1915.27,1000
1PC,152,1.917,1000,1000,1000000,-1915.27,1000
1PC,153,1.891,1000,1000,1000000,-1915.27,1000
1PC,154,1.884,1000,1000,1000000,-1915.27,1000
1PC,155,1.891,1000,1000,1000000,-1915.27,1000
1PC,156,1.997,1000,1000,1000000,-1915.27,1000
1PC,157,2.61,1000,1000,1000000,-1915.27,1000
1PC,158,2.293,1000,1000,1000000,-1915.27,1000
1PC,159,2.436,1000,1000,1000000,-1915.27,1000
1PC,160,2.075,1000,1000,1000000,-1915.27,1000
1PC,161,2.056,1000,1000,1000000,-1915.27,1000
1PC,162,1.958,1000,1000,1000000,-1915.27,1000
1PC,163,1.884,1000,1000,1000000,-1915.27,1000
1PC,164,1.886,1000,1000,1000000,-1915.27,1000
1PC,165,1.862,1000,1000,1000000,-1915.27,1000
1PC,166,1.886,1000,1000,1000000,-1915.27,1000
1PC,167,1.894,1000,1000,1000000,-1915.27,1000
1PC,168,1.878,1000,1000,1000000,-1915.27,1000
1PC,169,1.871,1000,1000,1000000,-1915.27,1000
1PC,170,1.887,1000,1000,1000000,-1915.27,1000
1PC,171,1.88,1000,1000,1000000,-1915.27,1000
1PC,172,1.895,1000,1000,1000000,-1915.27,1000
1PC,173,1.884,1000,1000,1000000,-1915.27,1000
1PC,174,1.893,1000,1000,1000000,-1915.27,1000
1PC,175,1.877,1000,1000,1000000,-1915.27,1000
1PC,176,1.888,1000,1000,1000000,-1915.27,1000
1PC,177,1.887,1000,1000,1000000,-1915.27,1000
1PC,178,1.883,1000,1000,1000000,-1915.27,1000
1PC,179,1.878,1000,1000,1000000,-1915.27,1000
1PC,180,1.89,1000,1000,1000000,-1915.27,1000
1PC,181,1.872,1000,1000,1000000,-1915.27,1000
1PC,182,1.871,1000,1000,1000000,-1915.27,1000
1PC,183,1.983,1000,1000,1000000,-1915.27,1000
1PC,184,1.971,1000,1000,1000000,-1915.27,1000
1PC,185,1.926,1000,1000,1000000,-1915.27,1000
1PC,186,1.955,1000,1000,1000000,-1915.27,1000
1PC,187,1.953,1000,1000,1000000,-1915.27,1000
1PC,188,1.917,1000,1000,1000000,-1915.27,1000
1PC,189,1.917,1000,1000,1000000,-1915.27,1000
1PC,190,1.917,1000,1000,1000000,-1915.27,1000
1PC,191,1.917,1000,1000,1000000,-1915.27,1000
1PC,192,1.931,1000,1000,1000000,-1915.27,1000
1PC,193,1.951,1000,1000,1000000,-1915.27,1000
1PC,194,1.922,1000,1000,1000000,-1915.27,1000
1PC,195,1.923,1000,1000,1000000,-1915.27,1000
1PC,196,1.92,1000,1000,1000000,-1915.27,1000
1PC,197,1.925,1000,1000,1000000,-1915.27,1000
1PC,198,1.907,1000,1000,1000000,-1915.27,1000
1PC,199,1.919,1000,1000,1000000,-1915.27,1000
1PC,200,1.918,1000,1000,1000000,-1915.27,1000
1PC,201,1.923,1000,1000,1000000,-1915.27,1000
1PC,202,1.926,1000,1000,1000000,-1915.27,1000
1PC,203,1.925,1000,1000,1000000,-1915.27,1000
1PC,204,1.942,1000,1000,1000000,-1915.27,1000
1PC,205,1.915,1000,1000,1000000,-1915.27,1000
1PC,206,1.909,1000,1000,1000000,-1915.27,1000
1PC,207,1.96,1000,1000,1000000,-1915.27,1000
1PC,208,2.001,1000,1000,1000000,-1915.27,1000
1PC,209,1.917,1000,1000,1000000,-1915.27,1000
1PC,210,1.91,1000,1000,1000000,-1915.27,1000
1PC,211,1.917,1000,1000,1000000,-1915.27,1000
1PC,212,1.909,1000,1000,1000000,-1915.27,1000
1PC,213,1.914,1000,1000,1000000,-1915.27,1000
1PC,214,1.925,1000,1000,1000000,-1915.27,1000
1PC,215,1.949,1000,1000,1000000,-1915.27,1000
1PC,216,1.93,1000,1000,1000000,-1915.27,1000
1PC,217,1.918,1000,1000,1000000,-1915.27,1000
1PC,218,1.937,1000,1000,1000000,-1915.27,1000
1PC,219,1.92,1000,1000,1000000,-1915.27,1000
1PC,220,1.928,1000,1000,1000000,-1915.27,1000
1PC,221,1.926,1000,1000,1000000,-1915.27,1000
1PC,222,1.947,1000,1000,1000000,-1915.27,1000
1PC,223,1.963,1000,1000,1000000,-1915.27,1000
1PC,224,1.938,1000,1000,1000000,-1915.27,1000
1PC,225,1.906,1000,1000,1000000,-1915.27,1000
1PC,226,1.925,1000,1000,1000000,-1915.27,1000
1PC,227,1.957,1000,1000,1000000,-1915.27,1000
1PC,228,1.986,1000,1000,1000000,-1915.27,1000
1PC,229,2.028,1000,1000,1000000,-1915.27,1000
1PC,230,1.929,1000,1000,1000000,-1915.27,1000
1PC,231,1.934,1000,1000,1000000,-1915.27,1000
1PC,232,1.926,1000,1000,1000000,-1915.27,1000
1PC,233,1.92,1000,1000,1000000,-1915.27,1000
1PC,234,1.944,1000,1000,1000000,-1915.27,1000
1PC,235,1.93,1000,1000,1000000,-1915.27,1000
1PC,236,1.929,1000,1000,1000000,-1915.27,1000
1PC,237,1.942,1000,1000,1000000,-1915.27,1000
1PC,238,1.924,1000,1000,1000000,-1915.27,1000
